time;averagePm10;averageAirTemp;averageDewPointTemperature;averageRelativeHumidity;averageAirPressure;averageWindDirection;maxWindSpeed;averageWindSpeed;rainIntensity
"2018-11-18 20:00:00";34.816949152542;-5.1733333333333;-9.2116666666667;73.275;991.34;57;2.8;1.4166666666667;0
"2018-11-18 21:00:00";36.581666666667;-5.45;-9.365;73.923333333333;991.56833333333;40;2.2;1.265;0
"2018-11-18 22:00:00";34.945762711864;-5.7716666666667;-9.5516666666667;74.671666666667;991.90166666667;70;2.1;1.0366666666667;0
"2018-11-18 23:00:00";28.040677966102;-6.2883333333333;-10.18;73.935;991.715;77;2.6;1.0883333333333;0
"2018-11-19 00:00:00";23.147457627119;-7.0683333333333;-10.991666666667;73.565;991.86333333333;87;2.5;1.4066666666667;0
"2018-11-19 01:00:00";18.035;-6.7916666666667;-10.105;77.286666666667;992.30666666667;91;2.6;1.5066666666667;0
"2018-11-19 02:00:00";15.218333333333;-7.0416666666667;-10.14;78.536666666667;992.09333333333;87;2.4;1.3233333333333;0
"2018-11-19 03:00:00";13.157627118644;-7.3033333333333;-10.376666666667;78.688333333333;991.96833333333;65;3.5;2.0133333333333;0
"2018-11-19 04:00:00";14.188333333333;-7.1566666666667;-10.321666666667;78.113333333333;992.08666666667;63;3.8;2.5033333333333;0
"2018-11-19 05:00:00";12.876271186441;-6.9566666666667;-10.005;78.9;992.43833333333;63;4;2.1583333333333;0
"2018-11-19 06:00:00";11.618644067797;-6.2633333333333;-9.5766666666667;77.378333333333;992.91166666667;71;4.9;2.8983333333333;0
"2018-11-19 07:00:00";14.720338983051;-5.4416666666667;-9.11;75.385;993.49833333333;70;5.5;2.73;0
"2018-11-19 08:00:00";20.006666666667;-4.8066666666667;-8.5983333333333;74.786666666667;994.21;70;5.4;3.0583333333333;0
"2018-11-19 09:00:00";20.161016949153;-3.9483333333333;-8.0333333333333;73.27;994.58666666667;68;4.8;2.895;0
"2018-11-19 10:00:00";22.778333333333;-3.04;-7.575;70.921666666667;994.37166666667;67;4.8;2.99;0
"2018-11-19 11:00:00";24.245;-2.485;-7.31;69.52;994.16333333333;63;5;2.8633333333333;0
"2018-11-19 12:00:00";26.859322033898;-1.8366666666667;-6.8716666666667;68.528333333333;994.44;67;5.6;3.205;0
"2018-11-19 13:00:00";34.028333333333;-1.605;-6.4816666666667;69.373333333333;994.99666666667;71;4.9;2.8716666666667;0
"2018-11-19 14:00:00";32.346666666667;-1.2683333333333;-5.6683333333333;72.018333333333;995.72;71;4.9;2.7833333333333;0
"2018-11-19 15:00:00";33.252542372881;-1.1833333333333;-5.6433333333333;71.656666666667;996.38166666667;69;5.4;2.8433333333333;0
"2018-11-19 16:00:00";30.336666666667;-0.88833333333333;-5.3833333333333;71.568333333333;997.04333333333;68;5.2;3.3216666666667;0
"2018-11-19 17:00:00";21.581355932203;-0.64333333333333;-5.2516666666667;70.991666666667;997.56166666667;71;4.7;2.6716666666667;0
"2018-11-19 18:00:00";16.428813559322;-0.58666666666667;-5.0483333333333;71.841666666667;998.17333333333;71;4.9;2.6916666666667;0
"2018-11-19 19:00:00";20.976666666667;-0.32166666666667;-4.8783333333333;71.335;998.43666666667;69;5.4;3.0766666666667;0
"2018-11-19 20:00:00";25.883333333333;0.145;-4.6483333333333;70.215;998.84;66;5.1;2.88;0
"2018-11-19 21:00:00";34.052542372881;0.38333333333333;-4.5716666666667;69.453333333333;999.055;71;4.8;2.8183333333333;0
"2018-11-19 22:00:00";38.65;0.42666666666667;-4.5316666666667;69.411666666667;999.10833333333;73;5;3.1416666666667;0
"2018-11-19 23:00:00";39.136666666667;0.41833333333333;-4.4916666666667;69.661666666667;999.17666666667;72;5.4;2.98;0
"2018-11-20 00:00:00";36.172881355932;0.74833333333333;-4.3683333333333;68.63;999.30333333333;80;5.5;2.985;0
"2018-11-20 01:00:00";34.193220338983;0.26166666666667;-4.305;71.415;999.37;73;5.9;3.1066666666667;0
"2018-11-20 02:00:00";27.523728813559;0.50666666666667;-4.2266666666667;70.571666666667;999.41833333333;73;5.2;3.0866666666667;0
"2018-11-20 03:00:00";14.59;0.42;-4.23;70.966666666667;999.57833333333;73;5.7;2.85;0
"2018-11-20 04:00:00";17.696610169492;0.49666666666667;-4.1166666666667;71.238333333333;999.835;76;5.8;3.1716666666667;0
"2018-11-20 05:00:00";22.457627118644;0.29;-4.11;72.336666666667;1000.275;75;6.5;3.4783333333333;0
"2018-11-20 06:00:00";23.163333333333;0.34;-4.2083333333333;71.531666666667;1000.5983333333;72;7.6;3.605;0
"2018-11-20 07:00:00";24.136666666667;0.89833333333333;-3.9516666666667;70.05;1001.0433333333;71;6.7;4.0133333333333;0
"2018-11-20 08:00:00";27.884745762712;0.99166666666667;-3.83;70.205;1001.3833333333;72;7;4.05;0
"2018-11-20 09:00:00";31.133898305085;1.6683333333333;-3.6616666666667;67.745;1001.2833333333;73;7;4.1733333333333;0
"2018-11-20 10:00:00";33.242372881356;1.9833333333333;-3.6933333333333;66.045;1001.195;71;7.6;4.5216666666667;0
"2018-11-20 11:00:00";30.265;2.2583333333333;-3.5166666666667;65.636666666667;1000.9783333333;73;8;4.275;0
"2018-11-20 12:00:00";27.3;2.16;-3.4983333333333;66.223333333333;1000.9633333333;76;7.6;4.6166666666667;0
"2018-11-20 13:00:00";32.491525423729;2.1933333333333;-3.3266666666667;66.901666666667;1000.9983333333;76;6.7;4.1166666666667;0
"2018-11-20 14:00:00";17.755;2.2233333333333;-3.185;67.475;1000.9666666667;76;6.4;4.04;0
"2018-11-20 15:00:00";17.927118644068;2.1366666666667;-3.0333333333333;68.646666666667;1001.1016666667;73;6.2;4.0733333333333;1.325
"2018-11-20 16:00:00";23.936666666667;1.5833333333333;-2.965;71.816666666667;1001.1216666667;70;6.6;3.3033333333333;2.5266666666667
"2018-11-20 17:00:00";22.181666666667;0.82666666666667;-2.8866666666667;76.198333333333;1001.29;74;5.1;3.1166666666667;3.43
"2018-11-20 18:00:00";17.930508474576;0.115;-3.4083333333333;77.216666666667;1001.38;72;5.1;2.5733333333333;0.56666666666667
"2018-11-20 19:00:00";17.743333333333;-0.10666666666667;-3.6216666666667;77.216666666667;1001.415;70;5.7;3.3233333333333;0.15833333333333
"2018-11-20 20:00:00";23.78813559322;-0.22833333333333;-3.8316666666667;76.713333333333;1001.6366666667;71;5.5;3.1416666666667;0
"2018-11-20 21:00:00";18.276271186441;-0.35;-3.7666666666667;77.678333333333;1001.915;70;4.8;2.845;0.10833333333333
"2018-11-20 22:00:00";13.477966101695;-0.69166666666667;-3.9866666666667;78.368333333333;1001.445;70;5.6;2.91;0
"2018-11-20 23:00:00";9.6416666666667;-1.5483333333333;-4.5266666666667;80.151666666667;1000.94;70;4.7;2.8533333333333;0
"2018-11-21 00:00:00";7.3683333333333;-2.11;-4.845;81.541666666667;1000.7883333333;70;5.8;3.0616666666667;0
"2018-11-21 01:00:00";4.7864406779661;-2.6616666666667;-5.4183333333333;81.345;1000.755;67;5.5;2.6983333333333;0
"2018-11-21 02:00:00";6.7915254237288;-3.2733333333333;-6.35;79.323333333333;1000.295;72;5.1;3.0216666666667;0
"2018-11-21 03:00:00";8.2457627118644;-3.6816666666667;-7.045;77.435;1000.0066666667;74;5.2;2.575;0
"2018-11-21 04:00:00";9.4949152542373;-3.7833333333333;-7.255;76.798333333333;1000.1283333333;74;4.9;2.665;0
"2018-11-21 05:00:00";11.235;-3.79;-7.415;75.92;999.94333333333;71;4.5;2.85;0
"2018-11-21 06:00:00";15.22;-3.4983333333333;-7.07;76.265;999.83333333333;74;4.8;3.0783333333333;0
"2018-11-21 07:00:00";14.525423728814;-3.2833333333333;-6.7916666666667;76.596666666667;999.61;75;5.6;3.02;0
"2018-11-21 08:00:00";20.122033898305;-3.05;-6.6683333333333;76.103333333333;999.68666666667;70;5.1;3.1233333333333;0
"2018-11-21 09:00:00";24.406666666667;-2.9466666666667;-6.5783333333333;76.041666666667;999.34666666667;66;5.7;3.2166666666667;0
"2018-11-21 10:00:00";37.141666666667;-2.8766666666667;-6.5566666666667;75.783333333333;998.58833333333;66;5.1;3.065;0
"2018-11-21 11:00:00";39.825;-2.395;-6.3816666666667;74.118333333333;998.015;69;5;3.125;0
"2018-11-21 12:00:00";43.742372881356;-2.4474576271186;-6.5694915254237;73.359322033898;997.6813559322;72;5.9;2.56;0
"2018-11-21 13:00:00";37.983050847458;-2.6413793103448;-6.8189655172414;72.960344827586;997.26896551724;73;6.5;3.1566666666667;0
"2018-11-21 14:00:00";39.216949152542;-2.7416666666667;-7.1516666666667;71.693333333333;996.95833333333;70;4.3;2.5983333333333;0
"2018-11-21 15:00:00";31.673333333333;-3.3833333333333;-7.6683333333333;72.241666666667;996.815;71;4.7;2.72;0
"2018-11-21 16:00:00";26.938983050847;-3.7966666666667;-8.045;72.348333333333;996.29166666667;71;4.8;2.6533333333333;0
"2018-11-21 17:00:00";30.367796610169;-3.99;-8.26;72.195;995.84166666667;71;4.5;2.72;0
"2018-11-21 18:00:00";29.805;-4.045;-8.2633333333333;72.496666666667;995.47166666667;71;6.1;2.8933333333333;0
"2018-11-21 19:00:00";26.906779661017;-4.5266666666667;-8.5683333333333;73.398333333333;995.16166666667;74;4.4;2.63;0
"2018-11-21 20:00:00";24.662711864407;-4.6016666666667;-8.6666666666667;73.27;995.02166666667;70;4.6;3.02;0
"2018-11-21 21:00:00";24.077966101695;-4.7116666666667;-8.82;72.986666666667;994.86666666667;71;5.4;2.6916666666667;0
"2018-11-21 22:00:00";22.577966101695;-4.8433333333333;-9;72.67;994.62833333333;70;4.8;2.4383333333333;0
"2018-11-21 23:00:00";19.311666666667;-4.99;-9.165;72.561666666667;994.4;70;5.4;2.785;0
"2018-11-22 00:00:00";20.516949152542;-4.98;-9.1216666666667;72.715;993.99166666667;68;5;2.6066666666667;0
"2018-11-22 01:00:00";23.25593220339;-4.7633333333333;-8.9916666666667;72.278333333333;994.01;68;5.9;2.78;0
"2018-11-22 02:00:00";25.064406779661;-4.7;-8.9183333333333;72.355;993.51833333333;70;4.8;2.43;0
"2018-11-22 03:00:00";21.44406779661;-4.4583333333333;-8.855;71.371666666667;993.145;70;4.7;2.3183333333333;0
"2018-11-22 04:00:00";27.713559322034;-4.27;-8.835;70.49;992.88;71;4.2;2.3083333333333;0
"2018-11-22 05:00:00";25.453333333333;-3.8966666666667;-8.645;69.55;992.75166666667;65;4;2.1616666666667;0
"2018-11-22 06:00:00";15.305;-3.6166666666667;-8.4833333333333;69.018333333333;992.93;69;4.6;2.4533333333333;0
"2018-11-22 07:00:00";18.574576271186;-3.3416666666667;-7.9783333333333;70.303333333333;992.96666666667;70;4.2;2.2516666666667;0
"2018-11-22 08:00:00";17.386440677966;-2.5116666666667;-7.11;70.676666666667;992.88166666667;70;4.7;2.68;0
"2018-11-22 09:00:00";19.823728813559;-2.415;-6.4483333333333;73.85;992.5;71;3.8;1.96;0
"2018-11-22 10:00:00";21.222033898305;-1.935;-5.7583333333333;75.12;991.73;71;3.9;2.1033333333333;0
"2018-11-22 11:00:00";20.818333333333;-1.5383333333333;-5.6983333333333;73.253333333333;991.44333333333;79;3.1;1.705;0
"2018-11-22 12:00:00";18.357627118644;-0.91;-5.085;73.35;990.76;79;3.8;1.555;0
