time;averageAirTemp;averageDewPointTemperature;averageRelativeHumidity;averageAirPressure;averageWindDirection;maxWindSpeed;averageWindSpeed;rainIntensity;averagePm10
"2019-07-10 15:00:00";15.641666666667;10.711666666667;72.521666666667;986.07666666667;266;3.2;1.49;0.01;3.3322033898305
"2019-07-10 16:00:00";15.531666666667;11.345;76.151666666667;985.89;252;2.3;1.3283333333333;0;3.58
"2019-07-10 17:00:00";16.43;11.288333333333;71.655;985.88;240;2.6;1.5433333333333;0;3.5186440677966
"2019-07-10 18:00:00";15.756666666667;11.113333333333;73.965;986.01166666667;249;3;1.865;0;5.285
"2019-07-10 19:00:00";14.843333333333;11.22;78.931666666667;986.36833333333;268;2.7;1.43;0;6.4525423728814
"2019-07-10 20:00:00";14.04;10.998333333333;81.9;986.55666666667;239;2;0.695;0;6.2372881355932
"2019-07-10 21:00:00";13.385;10.518333333333;82.826666666667;986.61166666667;193;1.4;0.65833333333333;0;4.6566666666667
"2019-07-10 22:00:00";12.683333333333;9.87;83.096666666667;986.70333333333;224;0.7;0.28333333333333;0;6.3133333333333
"2019-07-10 23:00:00";12.081666666667;9.4733333333333;84.111666666667;986.76666666667;232;0.8;0.33333333333333;0;7.0783333333333
"2019-07-11 00:00:00";11.85;9.3233333333333;84.375;986.7;231;0.8;0.49;0;7.3050847457627
"2019-07-11 01:00:00";11.508333333333;8.91;84.255;986.58833333333;265;1.2;0.62833333333333;0;7.3016949152542
"2019-07-11 02:00:00";10.878333333333;8.325;84.25;986.65666666667;299;1.4;0.82333333333333;0;6.6216666666667
"2019-07-11 03:00:00";10.696666666667;8.025;83.703333333333;986.87166666667;291;2.3;1.1166666666667;0;8.2783333333333
"2019-07-11 04:00:00";11.923333333333;8.3016666666667;78.55;987.12666666667;282;2.1;0.92166666666667;0;9.8966101694915
"2019-07-11 05:00:00";13.39;7.2916666666667;66.865;987.23;256;2.8;1.1333333333333;0;10.266101694915
"2019-07-11 06:00:00";14.807894736842;7.3368421052632;60.902631578947;987.41052631579;264;2.9;1.7947368421053;0;13.389830508475
"2019-07-11 07:00:00";21.536842105263;1.4631578947368;26.473684210526;987.36315789474;259;4.6;2.3894736842105;0;12.920338983051
"2019-07-11 08:00:00";21.871666666667;0.72166666666667;24.626666666667;987.19166666667;329;4.8;2.265;0;7.2133333333333
"2019-07-11 09:00:00";22.543333333333;-0.12333333333333;22.241666666667;987.04666666667;341;4.6;2.45;0;6.93
"2019-07-11 10:00:00";23.076666666667;1.4166666666667;24.055;986.85166666667;304;4.4;2.3483333333333;0;6.2166666666667
"2019-07-11 11:00:00";23.16;1.9966666666667;24.958333333333;986.6;335;4.7;2.4616666666667;0;5.6016949152542
